,Wollen Sie uns noch etwas mitteilen?
327,Die Besprechung der Gruppenaufträge war etwas zu schnell. Vor allem wenn man sich nicht mit dem Thema beschäftigt hat.
329,Der Rundgang hat mir sehr gefallen :)
333,Nette Schulungsleiterin und eine angenehme Führung / Schulung insgesamt
334,Der Rundgang war sehr cool!
335,Es war sehr interessant.
336,War super danke :)
340,danke
346,"Gut erklärt, sehr hilfreich für die Zukunft :)"
367,"schön gemacht , cr7 goat "
368,wenn man ein großes Interesse für die Bibliothek mitbringen würde wäre es bestimmt eine 1 gewesen :)
369,ronaldo goat
370,uff lock jetz glei kebabi fetze gehe
372,Bleiben sie so wie sie sind und immer weiter so !
373,hab durst
380,ganz gut gewesen
381,"Frau Müller war sehr nett zu Simon
"
383,Luca war hier 
384,Nein. Mit freundlichen Grüßen 
385,Neeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
396,Der Südwesten ist für immer Rot Weiß Rot!!!
399,nein
401,Sehr nützliche und interessante Infos :) 
402,Führung war gut
403,Sehr interessant gestaltet 
404,"Führung war gut, aber KSC ist nicht gut! (FORZA FCK)"
407,✔✔✔
408,kahoot wäre besser (als quiz)
409,Amogus
414,"War super , sehr nett und lehrreich!"
416,voll gut :)
418,Insta?
419,danke für ihre zeit
421,nein
422,blub
423,"
"
425,Etwas zu langweilig und das Publikum sollte mehr miteinbezogen werden. Periodt.
